article_name,author,date,url
Capitol assault a more sinister attack than first appeared ,"By JAY REEVES, LISA MASCARO and CALVIN WOODWARD",Mon Jan 11 2021,https://apnews.com/article/donald-trump-ap-top-news-michael-pence-nancy-pelosi-capitol-siege-14c73ee280c256ab4ec193ac0f49ad54
India’s quick nod to homegrown COVID-19 vaccine seeds doubt,By ANIRUDDHA GHOSAL and SHEIKH SAALIQ,Mon Jan 11 2021,https://apnews.com/article/asia-pacific-clinical-trials-india-coronavirus-pandemic-coronavirus-vaccine-16a4c1cfb1b6b5def70812e638e5fc54
AP PHOTOS: Only ash and shells of homes left on volcano isle,By AARON FAVILA,Mon Jan 11 2021,https://apnews.com/article/international-news-volcanic-eruptions-15ca06a974c8e9006baf68ed5250fb8c
Indonesia intensifies search for crashed plane’s black boxes,By NINIEK KARMINI,Mon Jan 11 2021,https://apnews.com/article/international-news-jakarta-indonesia-java-04af61da9453b65d91953e52c82c91dc
Village doctor in Ukraine faces coronavirus challenge,By MSTYSLAV CHERNOV and YURAS KARMANAU,Mon Jan 11 2021,https://apnews.com/article/ukraine-europe-coronavirus-pandemic-holidays-9afa57e2dd792bf0f0629f7d8413239d
Same old Browns? Hardly. Cleveland drills Steelers 48-37,By WILL GRAVES,Mon Jan 11 2021,https://apnews.com/article/nfl-pittsburgh-cleveland-browns-football-kansas-city-chiefs-42a4052cb746c1a2c06823788d966396
Trump remains defiant amid calls to resign,By JILL COLVIN,Mon Jan 11 2021,https://apnews.com/article/donald-trump-media-social-media-coronavirus-pandemic-impeachments-a7311457742849c050e9e01fd192c994
"China’s Geely, Baidu announce electric car ventures",,Mon Jan 11 2021,https://apnews.com/article/china-electric-vehicles-ee7fac853a1f9d50e10a137a7e16323a
China denies coercive birth control measures in Xinjiang ,,Mon Jan 11 2021,https://apnews.com/article/international-news-race-and-ethnicity-beijing-birth-control-china-84b8a13dbbb3d9a24d25bd0db7ad746e
Pompeo to designate Yemen’s Houthi rebels as terrorist group,By MATTHEW LEE,Mon Jan 11 2021,https://apnews.com/article/joe-biden-iran-cuba-diplomacy-china-93528aaaab4014ab527609da527e93db
Parler squeezed as Trump seeks new online megaphone,By FRANK BAJAK and BARBARA ORTUTAY,Mon Jan 11 2021,https://apnews.com/article/donald-trump-smartphones-media-social-media-coronavirus-pandemic-367b6dff19026c3811651aa01bde58f2
Taxi! NHL taxi squads to help teams stay on ice in pandemic,By LARRY LAGE,Mon Jan 11 2021,https://apnews.com/article/pandemics-edmonton-oilers-dallas-stars-nhl-coronavirus-pandemic-43c0afd3f581ea5e7ca108e6c130af4f
On Football: Defenses rise to task in NFL postseason ,By BARRY WILNER,Mon Jan 11 2021,https://apnews.com/article/nfl-derrick-henry-tennessee-titans-seattle-seahawks-new-orleans-saints-0bf710f7b36479195004021754b4419d
N. Korea’s Kim adds title: General secretary of ruling party,By HYUNG-JIN KIM,Mon Jan 11 2021,https://apnews.com/article/south-korea-north-korea-ff69c4291ba6d83f1585a4e4cb1a2a94
Global shares fall as pandemic fears overshadow aid hopes ,By YURI KAGEYAMA,Mon Jan 11 2021,https://apnews.com/article/joe-biden-pandemics-financial-markets-shanghai-coronavirus-pandemic-9d76f22c51377a95706caa3a071c16ac
English back to winning and wants to see how far he can go,By DOUG FERGUSON,Mon Jan 11 2021,https://apnews.com/article/harris-english-golf-coronavirus-pandemic-hawaii-0271b63adf60a66e52feadd020b81d80
"UK ramps up vaccine rollout, targets every adult by autumn",By SYLVIA HUI,Sun Jan 10 2021,https://apnews.com/article/international-news-england-coronavirus-pandemic-coronavirus-vaccine-ca01f408423b049a7625c6f431acdd8d
"Oil companies lock in drilling, challenging Biden on climate",By MATTHEW BROWN and CATHY BUSSEWITZ ,Sun Jan 10 2021,https://apnews.com/article/joe-biden-donald-trump-climate-wyoming-coronavirus-pandemic-a917f51126fa2641e0713573424b2b11
